05.12.2019 14:12:320	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 14:57:25	2716825 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:58:09	2760866 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:00:24	2896431 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:00:24	2896524 ms	Event	controller	Output changed to 0
05.12.2019 15:00:26	2899095 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:00:39	2912226 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:03:31	3084978 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:03:31	3085011 ms	Event	controller	Output changed to 1
05.12.2019 15:03:38	3092249 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:04:22	3136288 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:06:38	3273449 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:06:38	3273512 ms	Event	controller	Output changed to 0
05.12.2019 15:06:40	3276088 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:06:53	3289219 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:09:45	3462025 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:09:45	3462100 ms	Event	controller	Output changed to 1
05.12.2019 15:09:52	3469367 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:10:36	3513409 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:12:52	3650461 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:12:52	3650501 ms	Event	controller	Output changed to 0
05.12.2019 15:12:54	3653073 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:13:07	3666195 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:15:59	3838997 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:15:59	3839086 ms	Event	controller	Output changed to 1
05.12.2019 15:16:06	3846323 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:16:50	3890362 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:19:06	4027564 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:19:06	4027587 ms	Event	controller	Output changed to 0
05.12.2019 15:19:08	4030158 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:19:21	4043283 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:22:13	4216084 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:22:13	4216175 ms	Event	controller	Output changed to 1
05.12.2019 15:22:20	4223438 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:23:04	4267476 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:25:20	4404586 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:25:20	4404675 ms	Event	controller	Output changed to 0
05.12.2019 15:25:22	4407249 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:25:35	4420380 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:28:27	4593067 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:28:27	4593160 ms	Event	controller	Output changed to 1
05.12.2019 15:28:34	4600004 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:29:17	4644042 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:31:34	4781564 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:31:34	4781661 ms	Event	controller	Output changed to 0
05.12.2019 15:31:36	4784232 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:31:49	4797362 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:34:42	4971121 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:34:42	4971149 ms	Event	controller	Output changed to 1
05.12.2019 15:34:49	4978417 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:35:33	5022452 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:37:49	5159576 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:37:49	5159649 ms	Event	controller	Output changed to 0
05.12.2019 15:37:51	5162219 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:38:04	5175355 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:40:56	5348113 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:40:56	5348136 ms	Event	controller	Output changed to 1
05.12.2019 15:41:03	5355399 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:41:47	5399438 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:44:03	5536603 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:44:03	5536638 ms	Event	controller	Output changed to 0
05.12.2019 15:44:05	5539208 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:44:18	5552339 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:47:10	5725149 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:47:10	5725225 ms	Event	controller	Output changed to 1
05.12.2019 15:47:17	5732488 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:48:01	5776530 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:50:17	5913624 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:50:17	5913628 ms	Event	controller	Output changed to 0
05.12.2019 15:50:19	5916198 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:50:32	5929329 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:53:24	6102179 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:53:24	6102215 ms	Event	controller	Output changed to 1
05.12.2019 15:53:31	6109478 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 15:54:15	6153516 ms	Info	Input	Input OPEN changed to 1
05.12.2019 15:56:31	6290685 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 15:56:31	6290715 ms	Event	controller	Output changed to 0
05.12.2019 15:56:33	6293288 ms	Info	Input	Input OPEN changed to 0
05.12.2019 15:56:46	6306419 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 15:59:38	6479132 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 15:59:38	6479200 ms	Event	controller	Output changed to 1
05.12.2019 15:59:45	6486434 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:00:28	6530472 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:02:45	6667691 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:02:45	6667701 ms	Event	controller	Output changed to 0
05.12.2019 16:02:47	6670272 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:03:00	6683397 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:05:52	6856191 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:05:52	6856289 ms	Event	controller	Output changed to 1
05.12.2019 16:05:59	6863553 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:06:43	6907591 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:08:59	7044691 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:08:59	7044791 ms	Event	controller	Output changed to 0
05.12.2019 16:09:01	7047360 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:09:14	7060485 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:12:06	7233167 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:12:06	7233177 ms	Event	controller	Output changed to 1
05.12.2019 16:12:13	7240443 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:12:56	7284485 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:15:13	7421677 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:15:13	7421777 ms	Event	controller	Output changed to 0
05.12.2019 16:15:15	7424350 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:15:28	7437471 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:18:20	7610153 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:18:20	7610162 ms	Event	controller	Output changed to 1
05.12.2019 16:18:27	7617459 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:19:10	7661500 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:21:27	7798668 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:21:27	7798759 ms	Event	controller	Output changed to 0
05.12.2019 16:21:29	7801325 ms	Info	Input	Input OPEN changed to 0
05.12.2019 16:21:42	7814451 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 16:24:34	7987212 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 16:24:34	7987247 ms	Event	controller	Output changed to 1
05.12.2019 16:24:41	7994484 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 16:25:24	8038525 ms	Info	Input	Input OPEN changed to 1
05.12.2019 16:27:41	8175768 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 16:27:41	8175847 ms	Event	controller	Output changed to 0
