05.12.2019 14:13:120	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 14:13:12	2019 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:13:12	2022 ms	Info	Input	Input ADDR2 changed to 1
05.12.2019 14:13:12	2025 ms	Info	Input	Input BAUD1 changed to 1
05.12.2019 14:13:12	2108 ms	Info	DeviceConfiguration	------------- DeviceConfig -------------
05.12.2019 14:13:12	2112 ms	Info	DeviceConfiguration	config_state: AA
05.12.2019 14:13:12	2116 ms	Info	DeviceConfiguration	device_config_revision: 5
05.12.2019 14:13:12	2119 ms	Info	DeviceConfiguration	mem_errors: 0
05.12.2019 14:13:12	2122 ms	Info	DeviceConfiguration	bus_timeout_enabled: 1
05.12.2019 14:13:12	2125 ms	Info	DeviceConfiguration	bus_timeout: 300
05.12.2019 14:13:12	2128 ms	Info	DeviceConfiguration	sn 1: 1946
05.12.2019 14:13:12	2131 ms	Info	DeviceConfiguration	sn 2: 30797
05.12.2019 14:13:12	2134 ms	Info	DeviceConfiguration	sn 3: 255
05.12.2019 14:13:12	2137 ms	Info	DeviceConfiguration	bacnet_max_master: 127
05.12.2019 14:13:12	2140 ms	Info	DeviceConfiguration	bacnet_device_id_offset: 1000
05.12.2019 14:13:12	2144 ms	Info	DeviceConfiguration	bacnet_database_revision: 0
05.12.2019 14:13:12	2148 ms	Info	DeviceConfiguration	bacnet_device_name: 
05.12.2019 14:13:12	2151 ms	Info	DeviceConfiguration	bacnet_location: 
05.12.2019 14:13:12	2154 ms	Info	DeviceConfiguration	bacnet_description: 
05.12.2019 14:13:12	2157 ms	Info	DeviceConfiguration	bacnet_apdu_timeout: 3000
05.12.2019 14:13:12	2161 ms	Info	DeviceConfiguration	bacnet_apdu_retries: 3
05.12.2019 14:13:12	2164 ms	Info	DeviceConfiguration	bacnet_max_info_frames: 1
05.12.2019 14:13:12	2168 ms	Event	Modbus App	initializing modbus with address: 1, baud: 38400, parity: n, stop bits: 2
05.12.2019 14:13:27	17026 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:13:27	17083 ms	Event	controller	Output changed to 1
05.12.2019 14:13:34	24341 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:14:18	68894 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:16:46	217420 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:16:46	217489 ms	Event	controller	Output changed to 0
05.12.2019 14:16:48	219918 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:17:02	233569 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:19:54	407018 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:19:54	407075 ms	Event	controller	Output changed to 1
05.12.2019 14:20:01	414328 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:20:45	458896 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:23:01	595467 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:23:01	595475 ms	Event	controller	Output changed to 0
05.12.2019 14:23:03	597895 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:23:17	611496 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:26:08	783955 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:26:08	783962 ms	Event	controller	Output changed to 1
05.12.2019 14:26:15	791230 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:26:59	835800 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:29:15	972516 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:29:15	972560 ms	Event	controller	Output changed to 0
05.12.2019 14:29:17	974976 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:29:31	988562 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:32:22	1161038 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:32:22	1161048 ms	Event	controller	Output changed to 1
05.12.2019 14:32:29	1168297 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:33:13	1212859 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:35:29	1349517 ms	Event	Modbus App	Forced Control changed to 2
