13.11.2019 17:17:510    2000 ms	Event	BKN230-24-MOD-BAC	v 21.2.0.9
13.11.2019 17:19:10	80987 ms	Event	controller	Output changed to 0
13.11.2019 17:19:11	81826 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:19:11	81878 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:19:11	81887 ms	Event	controller	Output changed to 1
13.11.2019 17:19:13	83238 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:19:13	83279 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:19:13	83288 ms	Event	controller	Output changed to 0
13.11.2019 17:19:13	83631 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:19:13	83679 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:19:13	83688 ms	Event	controller	Output changed to 1
13.11.2019 17:19:13	83981 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:19:13	84079 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:19:13	84088 ms	Event	controller	Output changed to 0
13.11.2019 17:19:14	84281 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:19:14	84323 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:19:17	87960 ms	Info	Input	Input CLOSED changed to 1
13.11.2019 17:19:18	88654 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:19:18	88680 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:19:18	88689 ms	Event	controller	Output changed to 1
13.11.2019 17:19:20	90671 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:19:20	90681 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:19:20	90690 ms	Event	controller	Output changed to 0
13.11.2019 17:19:34	104697 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:19:34	104787 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:19:34	104796 ms	Event	controller	Output changed to 1
13.11.2019 17:19:37	107353 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:19:37	107388 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:19:37	107397 ms	Event	controller	Output changed to 0
13.11.2019 17:22:52	302249 ms	Event	Modbus App	bus watchdog timeout
13.11.2019 17:26:02	492585 ms	Event	Modbus App	Forced Control changed to 1
13.11.2019 17:26:02	492603 ms	Event	controller	Output changed to 1
13.11.2019 17:26:10	500389 ms	Info	Input	Input CLOSED changed to 0
13.11.2019 17:26:21	512086 ms	Event	Modbus App	Command changed to 2
13.11.2019 17:26:22	512110 ms	Event	controller	state change from 'idle' to 'auto test'
13.11.2019 17:26:22	512119 ms	Event	controller	Output changed to 0
13.11.2019 17:26:25	515746 ms	Info	Input	Input CLOSED changed to 1
13.11.2019 17:26:35	525815 ms	Event	controller	state change from 'auto test' to 'idle'
13.11.2019 17:26:35	525915 ms	Event	controller	Output changed to 1
13.11.2019 17:26:42	532286 ms	Event	Modbus App	Command changed to 4
13.11.2019 17:26:42	532317 ms	Event	controller	reset (bus)
13.11.2019 17:26:43	533983 ms	Info	Input	Input CLOSED changed to 0
13.11.2019 17:26:44	534569 ms	Event	Modbus App	Command changed to 4
13.11.2019 17:26:44	534618 ms	Event	controller	reset (bus)
13.11.2019 17:26:44	534743 ms	Event	Modbus App	Command changed to 4
13.11.2019 17:26:44	534818 ms	Event	controller	reset (bus)
13.11.2019 17:27:12	562131 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:27:12	562228 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:27:12	562237 ms	Event	controller	Output changed to 0
13.11.2019 17:27:12	562963 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:27:12	563028 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:27:12	563037 ms	Event	controller	Output changed to 1
13.11.2019 17:27:15	565997 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:27:15	566030 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:27:15	566039 ms	Event	controller	Output changed to 0
13.11.2019 17:27:16	566488 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:27:16	566530 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:27:16	566539 ms	Event	controller	Output changed to 1
13.11.2019 17:27:16	566757 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:27:16	566830 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:27:16	566839 ms	Event	controller	Output changed to 0
13.11.2019 17:27:17	567128 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:27:17	567136 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:27:17	567145 ms	Event	controller	Output changed to 1
13.11.2019 17:27:38	589092 ms	Info	Input	Input OPEN changed to 1
13.11.2019 17:29:40	710285 ms	Warning	controller	Errors: +BAE
13.11.2019 17:29:40	710292 ms	Warning	controller	Mem Errors: +BAE
13.11.2019 17:29:40	710657 ms	Info	Input	Input OPEN changed to 0
13.11.2019 17:29:40	710886 ms	Warning	controller	Errors: -BAE
13.11.2019 17:29:40	710986 ms	Event	controller	Output changed to 0
13.11.2019 17:29:50	720341 ms	Event	DeviceConfiguration	saved config
13.11.2019 17:29:50	720449 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:29:50	720489 ms	Event	controller	reset (self)
13.11.2019 17:29:50	720495 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:29:50	720504 ms	Warning	controller	Mem Errors: -BAE
13.11.2019 17:29:50	721085 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:29:50	721093 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:29:50	721102 ms	Event	controller	Output changed to 1
13.11.2019 17:30:00	730553 ms	Event	DeviceConfiguration	saved config
13.11.2019 17:30:29	759620 ms	Info	Input	Input OPEN changed to 1
13.11.2019 17:31:07	797350 ms	Info	Input	Input OPEN changed to 0
13.11.2019 17:31:08	798420 ms	Warning	controller	Errors: +Mechanical
13.11.2019 17:31:08	798427 ms	Warning	controller	Mem Errors: +Mechanical
13.11.2019 17:31:11	801805 ms	Info	Input	Input OPEN changed to 1
13.11.2019 17:31:11	801821 ms	Warning	controller	Errors: -Mechanical
13.11.2019 17:31:17	807840 ms	Event	Modbus App	Command changed to 4
13.11.2019 17:31:17	807924 ms	Event	controller	reset (bus)
13.11.2019 17:31:17	807930 ms	Warning	controller	Mem Errors: -Mechanical
13.11.2019 17:31:27	817980 ms	Event	DeviceConfiguration	saved config
13.11.2019 17:32:02	852722 ms	Event	Modbus App	bus watchdog timeout
13.11.2019 17:32:02	852740 ms	Event	controller	Output changed to 0
13.11.2019 17:32:04	854969 ms	Info	Input	Input OPEN changed to 0
13.11.2019 17:32:17	867397 ms	Info	Input	Input CLOSED changed to 1
13.11.2019 17:32:28	879099 ms	Event	Modbus App	Forced Control changed to 1
13.11.2019 17:32:29	879149 ms	Event	controller	Output changed to 1
13.11.2019 17:32:37	887256 ms	Info	Input	Input CLOSED changed to 0
13.11.2019 17:33:23	933832 ms	Info	Input	Input OPEN changed to 1
