05.12.2019 14:12:510	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 14:12:51	2019 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:12:51	2022 ms	Info	Input	Input ADDR1 changed to 1
05.12.2019 14:12:51	2025 ms	Info	Input	Input BAUD1 changed to 1
05.12.2019 14:12:51	2108 ms	Info	DeviceConfiguration	------------- DeviceConfig -------------
05.12.2019 14:12:51	2112 ms	Info	DeviceConfiguration	config_state: AA
05.12.2019 14:12:51	2116 ms	Info	DeviceConfiguration	device_config_revision: 5
05.12.2019 14:12:51	2119 ms	Info	DeviceConfiguration	mem_errors: 0
05.12.2019 14:12:51	2122 ms	Info	DeviceConfiguration	bus_timeout_enabled: 1
05.12.2019 14:12:51	2125 ms	Info	DeviceConfiguration	bus_timeout: 300
05.12.2019 14:12:51	2128 ms	Info	DeviceConfiguration	sn 1: 1946
05.12.2019 14:12:51	2131 ms	Info	DeviceConfiguration	sn 2: 30733
05.12.2019 14:12:51	2134 ms	Info	DeviceConfiguration	sn 3: 255
05.12.2019 14:12:51	2137 ms	Info	DeviceConfiguration	bacnet_max_master: 127
05.12.2019 14:12:51	2140 ms	Info	DeviceConfiguration	bacnet_device_id_offset: 1000
05.12.2019 14:12:51	2144 ms	Info	DeviceConfiguration	bacnet_database_revision: 0
05.12.2019 14:12:51	2148 ms	Info	DeviceConfiguration	bacnet_device_name: 
05.12.2019 14:12:51	2151 ms	Info	DeviceConfiguration	bacnet_location: 
05.12.2019 14:12:51	2154 ms	Info	DeviceConfiguration	bacnet_description: 
05.12.2019 14:12:51	2157 ms	Info	DeviceConfiguration	bacnet_apdu_timeout: 3000
05.12.2019 14:12:51	2161 ms	Info	DeviceConfiguration	bacnet_apdu_retries: 3
05.12.2019 14:12:51	2164 ms	Info	DeviceConfiguration	bacnet_max_info_frames: 1
05.12.2019 14:12:51	2168 ms	Event	Modbus App	initializing modbus with address: 2, baud: 38400, parity: n, stop bits: 2
05.12.2019 14:13:26	38081 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:13:26	38098 ms	Event	controller	Output changed to 1
05.12.2019 14:13:34	45537 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:14:18	89970 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:16:45	238477 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:16:45	238504 ms	Event	controller	Output changed to 0
05.12.2019 14:16:48	240955 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:17:01	254438 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:19:53	428073 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:19:53	428090 ms	Event	controller	Output changed to 1
05.12.2019 14:20:01	435543 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:20:45	479994 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:23:00	616522 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:23:00	616590 ms	Event	controller	Output changed to 0
05.12.2019 14:23:03	619030 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:23:16	632471 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:26:07	805010 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:26:07	805076 ms	Event	controller	Output changed to 1
05.12.2019 14:26:15	812534 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:26:59	856991 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:29:14	993572 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:29:14	993575 ms	Event	controller	Output changed to 0
05.12.2019 14:29:17	996006 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:29:30	1009434 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:32:21	1182095 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:32:21	1182159 ms	Event	controller	Output changed to 1
