05.12.2019 14:12:530	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 14:12:53	2019 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:12:53	2022 ms	Info	Input	Input ADDR0 changed to 1
05.12.2019 14:12:53	2025 ms	Info	Input	Input ADDR1 changed to 1
05.12.2019 14:12:53	2027 ms	Info	Input	Input BAUD1 changed to 1
05.12.2019 14:12:53	2108 ms	Info	DeviceConfiguration	------------- DeviceConfig -------------
05.12.2019 14:12:53	2112 ms	Info	DeviceConfiguration	config_state: AA
05.12.2019 14:12:53	2116 ms	Info	DeviceConfiguration	device_config_revision: 5
05.12.2019 14:12:53	2119 ms	Info	DeviceConfiguration	mem_errors: 0
05.12.2019 14:12:53	2122 ms	Info	DeviceConfiguration	bus_timeout_enabled: 1
05.12.2019 14:12:53	2125 ms	Info	DeviceConfiguration	bus_timeout: 300
05.12.2019 14:12:53	2128 ms	Info	DeviceConfiguration	sn 1: 1946
05.12.2019 14:12:53	2131 ms	Info	DeviceConfiguration	sn 2: 30821
05.12.2019 14:12:53	2134 ms	Info	DeviceConfiguration	sn 3: 255
05.12.2019 14:12:53	2137 ms	Info	DeviceConfiguration	bacnet_max_master: 127
05.12.2019 14:12:53	2140 ms	Info	DeviceConfiguration	bacnet_device_id_offset: 1000
05.12.2019 14:12:53	2144 ms	Info	DeviceConfiguration	bacnet_database_revision: 0
05.12.2019 14:12:53	2148 ms	Info	DeviceConfiguration	bacnet_device_name: 
05.12.2019 14:12:53	2151 ms	Info	DeviceConfiguration	bacnet_location: 
05.12.2019 14:12:53	2154 ms	Info	DeviceConfiguration	bacnet_description: 
05.12.2019 14:12:53	2157 ms	Info	DeviceConfiguration	bacnet_apdu_timeout: 3000
05.12.2019 14:12:53	2161 ms	Info	DeviceConfiguration	bacnet_apdu_retries: 3
05.12.2019 14:12:53	2164 ms	Info	DeviceConfiguration	bacnet_max_info_frames: 1
05.12.2019 14:12:54	2168 ms	Event	Modbus App	initializing modbus with address: 2, baud: 38400, parity: n, stop bits: 2
05.12.2019 14:13:19	28176 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:13:19	28190 ms	Event	controller	Output changed to 1
05.12.2019 14:13:26	35259 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:14:10	79777 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:16:38	228570 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:16:38	228598 ms	Event	controller	Output changed to 0
05.12.2019 14:16:41	231008 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:16:54	244666 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:19:46	418168 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:19:46	418183 ms	Event	controller	Output changed to 1
05.12.2019 14:19:54	425697 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:20:38	470225 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:22:53	606617 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:22:53	606684 ms	Event	controller	Output changed to 0
05.12.2019 14:22:56	609080 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:23:09	622678 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:26:00	795104 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:26:00	795169 ms	Event	controller	Output changed to 1
05.12.2019 14:26:08	802713 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:26:52	847240 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:29:07	983666 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:29:07	983669 ms	Event	controller	Output changed to 0
05.12.2019 14:29:09	986065 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:29:23	999658 ms	Info	Input	Input CLOSED changed to 1
